GM12764	GSM420983
GM12765	GSM420984
GM12766	GSM420985
GM12766	GSM420986
GM12767	GSM420987
GM12767	GSM420988
GM12768	GSM420989
GM12769	GSM420990
GM12770	GSM420991
GM12771	GSM420992
GM12772	GSM420993
GM12773	GSM420994
GM12774	GSM420995
GM12775	GSM420996
GM12775	GSM420997
GM12776	GSM420998
GM12776	GSM420999
GM12777	GSM421000
GM12777	GSM421001
GM12778	GSM421002
GM12801	GSM421003
GM12801	GSM421004
GM12802	GSM421005
GM12802	GSM421006
GM12803	GSM421007
GM12804	GSM421008
GM12805	GSM421009
GM12806	GSM421010
GM12807	GSM421011
GM12808	GSM421012
GM12809	GSM421013
GM12810	GSM421014
GM12812	GSM421015
GM12812	GSM421016
GM12813	GSM421017
GM12813	GSM421018
GM12814	GSM421019
GM12814	GSM421020
GM12815	GSM421021
GM12815	GSM421022
GM12817	GSM421023
GM12817	GSM421024
GM12818	GSM421025
GM12818	GSM421026
GM12819	GSM421027
GM12820	GSM421028
GM12821	GSM421029
GM12822	GSM421030
GM12823	GSM421031
GM12824	GSM421032
GM12825	GSM421033
GM12826	GSM421034
GM12827	GSM421035
GM12827	GSM421036
GM12828	GSM421037
GM12828	GSM421038
GM12829	GSM421039
GM12829	GSM421040
GM12830	GSM421041
GM12830	GSM421042
GM12831	GSM421043
GM12831	GSM421044
GM12832	GSM421045
GM12832	GSM421046
GM12833	GSM421047
GM12834	GSM421048
GM12835	GSM421049
GM12836	GSM421050
GM12837	GSM421051
GM12838	GSM421052
GM12839	GSM421053
GM12840	GSM421054
GM12840	GSM421055
GM12841	GSM421056
GM12841	GSM421057
GM12842	GSM421058
GM12842	GSM421059
GM12843	GSM421060
GM12843	GSM421061
GM12844	GSM421062
GM12847	GSM421063
GM12848	GSM421064
GM12852	GSM421065
GM12853	GSM421066
GM12854	GSM421067
GM12856	GSM421068
GM12857	GSM421069
GM12859	GSM421070
GM12860	GSM421071
GM12861	GSM421072
GM12862	GSM421073
GM12863	GSM421074
GM12864	GSM421075
GM12864	GSM421076
GM12865	GSM421077
GM12866	GSM421078
GM12867	GSM421079
GM12868	GSM421080
GM12869	GSM421081
GM12870	GSM421082
GM12871	GSM421083
GM12872	GSM421084
GM12872	GSM421085
GM12873	GSM421086
GM12873	GSM421087
GM12874	GSM421088
GM12874	GSM421089
GM12875	GSM421090
GM12875	GSM421091
GM12876	GSM421092
GM12878	GSM421093
GM12880	GSM421094
GM12881	GSM421095
GM12882	GSM421096
GM12883	GSM421097
GM12885	GSM421098
GM12886	GSM421099
GM12887	GSM421100
GM12889	GSM421101
GM12890	GSM421102
GM12890	GSM421103
GM12891	GSM421104
GM12892	GSM421105
GM12897	GSM421106
GM12898	GSM421107
GM12899	GSM421108
GM12900	GSM421109
GM12901	GSM421110
GM12902	GSM421111
GM12903	GSM421112
GM12905	GSM421113
GM12906	GSM421114
GM12907	GSM421115
GM12908	GSM421116
GM12909	GSM421117
GM12910	GSM421118
GM12911	GSM421119
GM12911	GSM421120
GM12912	GSM421121
GM12912	GSM421122
GM12913	GSM421123
GM12914	GSM421124
GM12915	GSM421125
GM12916	GSM421126
GM12917	GSM421127
GM12919	GSM421128
GM12920	GSM421129
GM12921	GSM421130
GM12921	GSM421131
GM12922	GSM421132
GM12922	GSM421133
GM12923	GSM421134
GM12923	GSM421135
GM12924	GSM421136
GM12924	GSM421137
